name,id,width,height,icon_width,icon_height,features,fleaMarket,flea_avg48,flea_ch48percent,prapor,therapist,fence,skier,peacekeeper,mechanic,ragman,jaeger
PS,59e77a2386f7742ee578960a,1,1,,,,1220,1305,-18.49,119,,95,,,133,,
VPO209,59e8977386f77415a553c453,1,1,,,,300,0,0,235,,188,230,2,263,,
VPO209,59e898ee86f77427614bd225,1,1,,,,890,0,0,,,324,397,4,454,,
VPO209,59e89d0986f77427600d226e,2,1,,,,19000,19000,0,,,728,,8,1019,,
209 thr.,59e8a00d86f7742ad93b569c,1,1,,,,42069,42069,0,,,240,294,3,336,,
DVL-10 Saboteur,59e8d2b386f77445830dd299,5,2,,,,,0,0,21487,,17189,,195,24065,,25784
6P29M,59eb7ebe86f7740b373438ce,1,1,,,,70000,60217,-7.49,,,3017,,34,4224,,
PT 74S,59ecc28286f7746d7a68aa8c,1,1,,,,15000,26198,-22.26,,,1291,,15,1807,,
PT-3,59ecc3dd86f7746dc827481c,2,1,,,,22898,29991,-1.03,,,6652,,76,9312,,
Pumpkin,59ef13ca86f77445fd0e2483,2,2,,,,0,0,0,,,4000,4900,45,,6200,
BEAR,59f32bb586f774757e1e8442,1,1,,,,,0,,300,378,240,294,,,,
USEC,59f32c3b86f77472a31742f0,1,1,,,,,0,,300,378,240,294,,,,
Shift,59f8a37386f7747af3328f06,1,1,,,,21111,40871,8.18,,,5188,6356,59,7264,,
SR-1MP,59f98b4986f7746f546d2cef,2,1,,,,19400,21658,2.71,9646,,7716,,88,10803,,
SR-1MP,59f99a7d86f7745b134aa97b,1,1,,,,10000,11743,24.8,,,602,,7,843,,
Saiga-9,59f9cabd86f7743a10721f46,3,1,,,,16000,13500,-83.12,4973,,3978,,45,5569,,
UH-1,59f9d81586f7744c7506ee62,1,1,,,,27888,36156,-12.44,12923,,10338,12665,117,14474,,
Roler,59faf7ca86f7740dbe19f6c2,1,1,,,,47888,53387,1.11,,44760,28419,34814,323,,,
Alkali,59faf98186f774067b6be103,1,2,,,,16000,15128,-10.26,4228,5327,3382,4143,,,,
Propane,59fafb5d86f774067a6f2084,2,2,,,,38715,37588,-1.52,,7966,5058,,,,,
AK30,59fafc5086f7740dbe19f6c3,1,2,,,,18000,27190,-3,,,1754,,20,2456,,
AK30 FDE,59fafc9386f774067d462453,1,2,,,,14000,17047,-34.63,,,1880,,21,2632,,
Key tool,59fafd4b86f7745ca07e1232,1,1,,,,860000,900181,-5.37,,471525,299381,,,,464040,
0.2BTC,59faff1d86f7746c51718c9c,1,1,,,,,0,,,122546,77807,95313,884,,,
Money,59fb016586f7746d0d4b423a,3,2,,,,0,0,0,,250866,159280,,,,246884,
Weapons,59fb023c86f7746d0d4b423c,5,2,,,,6200000,6189200,-0.45,,550976,349826,,,,542230,
Items,59fb042886f7746c5005a7b2,4,4,,,,0,0,0,,774896,491997,,,,762596,
MClaw,59fb137a86f7740adb646af1,1,1,,,,29000,43102,-1.29,,,3519,4311,40,4926,,
DTK-4M,59fb257e86f7742981561852,2,1,,,,29420,30564,1.76,,,19365,23722,220,27111,,
UFM,59fb375986f7741b681b81a6,2,1,,,,13500,16619,-15.82,,,8142,9973,93,11398,,
RVG BLK,59fc48e086f77463b1118392,1,1,,,,14990,19725,-14.1,,,2843,3483,32,3981,,
AKMS,59ff346386f77477562ff5e2,4,1,,,,25000,27653,-3.68,13935,,11148,,127,15607,,
6P4 Sb.1-19,59ff3b6a86f77477562ff5ed,2,1,,,,33333,29166,0.58,,,622,,7,871,,
AKMS al.,5a0060fc86f7745793204432,1,2,,,,26666,12324,16.23,,,1320,,15,1848,,
AKM wood,5a0071d486f77404e23a12b2,1,1,,,,15000,57500,0,,,288,352,3,403,,
VDM CS,5a01ad4786f77450561fda02,1,1,,,,0,0,0,,,1161,1422,13,1626,,
6L10,5a01c29586f77474660c694c,1,2,,,,5000,9045,8.55,,,789,,9,1105,,
TT AK,5a0abb6e1526d8000a025282,1,1,,,,3000,5554,-15.16,,,246,301,3,344,,
Zarya,5a0c27731526d80618476ac4,1,1,,,,8750,9986,-7.39,3357,,2686,,,,,
6G15U,5a0c59791526d8dba737bba7,1,1,,,,15111,17086,-33.08,,,1292,,15,1809,,
PBS-1,5a0d63621526d8dba31fe3bf,2,1,,,,27111,33740,0.76,,,19270,23606,219,26978,,
AKML,5a0d716f1526d8000d26b1e2,1,1,,,,9000,10333,8.79,,,242,296,3,339,,
W104 San,5a0dc45586f7742f6b0b73e3,1,1,,,,98000,81002,-2.42,22500,28350,18000,,,,,
W112 San,5a0dc95c86f77452440fc675,1,1,,,,45000,52058,-1.76,17500,22050,14000,,,,,
E107 San,5a0ea64786f7741707720468,1,1,,,,60000,64812,-4.98,3084,3886,2467,,,,,
E108 San,5a0ea69f86f7741cd5406619,1,1,,,,25000,26991,-5.27,15000,18900,12000,,,,,
San util.,5a0ea79b86f7741d4a35298e,1,1,,,,55000,50323,-15.96,18500,23310,14800,,,,,
SMW,5a0eb38b86f774153b320eb0,1,1,,,,19000,12888,-25.49,6218,7835,4974,,,,,
Cottage,5a0eb6ac86f7743124037a28,1,1,,,,450000,400000,-11.01,11560,14565,9248,,,,,
AKMB RS,5a0eb980fcdbcb001a3b00a6,1,1,,,,0,0,0,235,,188,230,2,263,,
AKMN,5a0ec13bfcdbcb00165aa685,4,1,,,,47000,51512,2.57,17001,,13601,,155,19041,,
W205 San,5a0ec6d286f7742c0b518fb5,1,1,,,,85000,64617,-28.93,24750,31185,19800,,,,,
W207 San,5a0ec70e86f7742c0b518fba,1,1,,,,45000,47719,-1.42,37500,47250,30000,,,,,
AKMP RS,5a0ed824fcdbcb0176308b0d,1,1,,,,0,0,0,235,,188,230,2,263,,
W216 San,5a0ee30786f774023b6ee08f,1,1,,,,400000,442734,3.38,37500,47250,30000,,,,,
W220 San,5a0ee34586f774023b6ee092,1,1,,,,130000,99918,0.06,26000,32760,20800,,,,,
W221 San,5a0ee37f86f774023657a86f,1,1,,,,60999,58308,-3.56,45000,56700,36000,,,,,
E206 San,5a0ee4b586f7743698200d22,1,1,,,,59000,46942,-2.89,30100,37926,24080,,,,,
E209 San,5a0ee62286f774369454a7ac,1,1,,,,48000,49024,0.17,38000,47880,30400,,,,,
E213 San,5a0ee72c86f77436955d3435,1,1,,,,63000,38155,-6.97,30000,37800,24000,,,,,
E216 San,5a0ee76686f7743698200d5c,1,1,,,,30000,33934,-3.15,23500,29610,18800,,,,,
W303 San,5a0eeb1a86f774688b70aa5c,1,1,,,,55555,59401,-11.93,40500,51030,32400,,,,,
W309 San,5a0eeb8e86f77461257ed71a,1,1,,,,43000,43935,-0.94,34000,42840,27200,,,,,
W325 San,5a0eebed86f77461230ddb3d,1,1,,,,26666,30204,0.04,21000,26460,16800,,,,,
E310 San,5a0eec9686f77402ac5c39f2,1,1,,,,145000,86637,4.74,34500,43470,27600,,,,,
E313 San,5a0eecf686f7740350630097,1,1,,,,85000,46093,4.41,25000,31500,20000,,,,,
E314 San,5a0eed4386f77405112912aa,1,1,,,,29876,28208,-9.26,10170,12814,8136,,,,,
E322 San,5a0eedb386f77403506300be,1,1,,,,48000,49268,-5.87,38000,47880,30400,,,,,
E328 San,5a0eee1486f77402aa773226,1,1,,,,77777,83742,-8.13,33000,41580,26400,,,,,
W321 safe,5a0eff2986f7741fd654e684,1,1,,,,37999,41292,-11.16,9150,11529,7320,,,,,
Safe,5a0f006986f7741ffd2fe484,1,1,,,,76333,47939,-2.51,37500,47250,30000,,,,,
Gas safe,5a0f045e86f7745b0f0d0e42,1,1,,,,33666,36831,-11.38,26000,32760,20800,,,,,
Safe,5a0f068686f7745b0d4ea242,1,1,,,,75555,64930,-20.51,14075,17734,11260,,,,,
Safe,5a0f075686f7745bcc42ee12,1,1,,,,19998,20307,-17.49,15500,19530,12400,,,,,
Safe,5a0f08bc86f77478f33b84c2,1,1,,,,93000,68984,-8.83,37500,47250,30000,,,,,
AKMP FS,5a0f096dfcdbcb0176308b15,1,1,,,,19000,21818,0,235,,188,230,2,263,,
Safe,5a0f0f5886f7741c4e32a472,1,1,,,,70000,70121,3.43,43000,54180,34400,,,,,
W323 San,5a13ee1986f774794d4c14cd,1,1,,,,50000,47999,-2.28,38000,47880,30400,,,,,
W218 San,5a13eebd86f7746fd639aa93,1,1,,,,88000,46695,-13.07,17500,22050,14000,,,,,
W219 San,5a13ef0686f7746e5a411744,1,1,,,,88888,91368,1.54,20000,25200,16000,,,,,
W301 San,5a13ef7e86f7741290491063,1,1,,,,300000,317770,5.77,43500,54810,34800,,,,,
E222 San,5a13f24186f77410e57c5626,1,1,,,,77000,61974,-10.94,26000,32760,20800,,,,,
E226 San,5a13f35286f77413ef1436b0,1,1,,,,50000,56942,-8.15,19150,24129,15320,,,,,
W306 San,5a13f46386f7741dd7384b04,1,1,,,,60000,58278,4.09,19110,24078,15288,,,,,
E205 San,5a144bdb86f7741d374bbde0,1,1,,,,47900,42390,-14.8,20000,25200,16000,,,,,
W203 San,5a144dfd86f77445cb5a0982,1,1,,,,25999,35151,-0.96,13615,17154,10892,,,,,
W222 San,5a1452ee86f7746f33111763,1,1,,,,40000,42058,-6.27,25000,31500,20000,,,,,
E306 San,5a145d4786f7744cbb6f4a12,1,1,,,,78000,35033,-4.15,12510,15763,10008,,,,,
E308 San,5a145d7b86f7744cbb6f4a13,1,1,,,,36543,35694,-5.79,15000,18900,12000,,,,,
E316 San,5a145ebb86f77458f1796f05,1,1,,,,18000,21860,-3.24,4602,5798,3681,,,,,
FAST MT,5a154d5cfcdbcb001a3b00da,2,2,,,,,0,,,,52390,64178,595,,81205,
FAST,5a16b672fcdbcb001912fa83,2,1,,,,15000,19686,-19.01,,,4679,5732,53,,7252,
FAST FS,5a16b7e1fcdbcb00165aa6c9,2,2,,,,,0,,,,10656,13054,121,,16517,
TATM,5a16b8a9fcdbcb00165aa6ca,1,1,,,,23899,32646,-13.45,,,1420,,16,1988,,
DDT,5a16b93dfcdbcbcae6687261,1,1,,,,15111,21940,6.8,,,981,,11,1374,,
RAC,5a16b9fffcdbcb0176308b34,2,1,,,,32500,32695,1.52,,,18654,22851,212,,28914,
Gunsight,5a16ba61fcdbcb098008728a,2,2,,,,14000,17166,0.01,,,8536,10456,97,,13230,
FAST Ears,5a16badafcdbcb001865f72d,2,2,,,,29800,35074,4.73,,,13787,16889,157,,21370,
SLock,5a16bb52fcdbcb001a3b00dc,2,2,,,,14000,15650,-8.36,,,7889,9664,90,,12228,
APS,5a17f98cfcdbcb0980087290,2,1,,,,10888,12605,5.27,5800,,4640,,53,6496,,
APS,5a17fb03fcdbcbcae668728f,1,1,,,,4000,4000,33.44,,,339,,4,475,,
APB,5a17fb9dfcdbcbcae6687291,1,1,,,,40000,0,0,,,2717,,31,3804,,
APS bak.,5a17fc70fcdbcb0176308b3d,1,1,,,,5000,5000,-62.39,,,401,491,5,562,,
REAP-IR,5a1eaa87fcdbcb001865f75e,2,1,,,,,0,,,,142317,,1617,199244,,
REAP-IR cup,5a1eacb3fcdbcb09800872be,1,1,,,,9900,17093,29.41,,,142,,,199,,
DLOC-IRD,5a1ead28fcdbcb001912fa9f,1,1,,,,85000,81661,2.86,,,2502,,28,3503,,
PS,5a269f97c4a282000b151807,1,1,,,,388,474,-34.89,70,,56,,,78,,
P,5a26abfac4a28232980eabff,1,1,,,,440,474,19.16,75,,60,,,84,,
PE,5a26ac06c4a282000c5a90a8,1,1,,,,888,720,0.13,98,,78,,,110,,
BT,5a26ac0ec4a28200741e1e18,1,1,,,,429,954,-26.93,120,,96,,,134,,
SR-1MP 1x,5a27b281c4a28200741e1e52,1,1,,,,22222,12305,-27.36,,,1074,,12,1504,,
SR-1MP mount,5a27b3d0c4a282000d721ec1,1,1,,,,14500,15000,-36.34,,,1106,,13,1548,,
SR-1MP,5a27b6bec4a282000e496f78,2,1,,,,18000,26962,-2.99,,,12275,15037,139,17185,,
SR-1MP 4x,5a27bad7c4a282000b15184b,1,1,,,,19000,19948,17.24,,,3499,,40,4898,,
RDG-2B,5a2a57cfc4a2826c6e06d44a,1,2,,,,6999,9359,18.64,2720,,2176,,,,,
SR-1MP Tactical 1,5a327f7286f7747668661419,3,1,,,,,0,0,9646,,7716,,88,10803,,
SR-1MP Tactical 2,5a327f7c86f77475187e509a,3,1,,,,,0,0,9646,,7716,,88,10803,,
AKM 2k17 NY,5a327f9086f77475187e50a9,6,2,,,,,0,0,14756,,11805,,134,16527,,
RSASS,5a329052c4a28200741e22d3,2,1,,,,22220,24523,-9.49,,,6701,8209,76,9382,,
Osprey 9,5a32a064c4a28200741e22de,2,1,,,,27777,27323,-0.21,,,15896,19473,181,22255,,
RM50,5a32aa0cc4a28232996e405f,1,1,,,,5111,11395,30.24,,,1791,,20,2508,,
RMR,5a32aa8bc4a2826c6e06d737,1,1,,,,25500,28315,0.21,11107,,8886,10885,101,12440,,
MIAD,5a339805c4a2826c6e06d73d,1,1,,,,21999,21694,-4.38,,,1260,1543,14,1764,,
Alpha 9,5a33a8ebc4a282000c5a950d,2,1,,,,19900,21337,-2.45,,,14663,17962,167,20529,,
RM33,5a33b2c9c4a282000c5a9511,1,1,,,,9900,14001,-18.74,,,659,,7,922,,
AC32062,5a33b652c4a28232996e407c,1,1,,,,3000,10794,7.6,,,637,,7,892,,
RM35,5a33bab6c4a28200741e22f8,1,1,,,,37999,56792,46.53,,,2472,,28,3461,,
Colt A2,5a33ca0fc4a282000d72292f,2,1,,,,16666,15797,-14.43,,,1451,,16,2032,,
PRS GEN2,5a33cae9c4a28232980eb086,2,1,,,,13450,15630,1.79,,,6837,,78,9572,,
CQR AR15,5a33e75ac4a2826c6e06d759,2,1,,,,25555,26698,-10.35,,,15305,,174,21427,,
"AR-10 18""",5a34f7f1c4a2826c6e06d75d,4,1,,,,35000,40519,-12.7,,,15654,19177,178,21916,,
"AR-10 22""",5a34fae7c4a2826c6e06d760,5,1,,,,27000,28641,-2.47,,,19133,23438,217,26787,,
GS-6,5a34fbadc4a28200741e230a,1,1,,,,12000,13970,2.44,,,5876,7198,67,8226,,
51T 762,5a34fd2bc4a282329a73b4c5,1,1,,,,10000,18751,4.53,,,1840,2254,21,2576,,
SDN-6,5a34fe59c4a282000b1521a2,2,1,,,,39999,48142,-5.72,,,26930,32989,306,37702,,
PMAG 7.62,5a3501acc4a282000d72293a,1,2,,,,29400,30349,-3.63,,,1292,,15,1809,,
X-5 MP5,5a351711c4a282000b1521a4,1,2,,,,22000,25094,-2.67,,,5578,,63,7809,,
RSASS,5a367e5dc4a282000e49738f,1,1,,,,,0,,20802,,16642,,189,23298,,24963
JP 30mm,5a37ca54c4a282000d72296a,2,1,,,,29000,29416,1.31,,,3717,,42,5204,,
6.5-20x50,5a37cb10c4a282329a73b4e7,2,1,,,,33000,34753,-9.86,,,23432,28704,266,32804,,
TOZ-106,5a38e6bac4a2826c6e06d79b,3,1,,,,8000,8000,0,1763,,1410,,16,1974,,2115
7.5mm,5a38ebd9c4a282000d722a5b,1,1,,,,26,25,0,12,,9,,,13,,
Sb.3x4,5a38ed75c4a28232996e40c6,1,1,,,,4321,2100,86.17,,,430,,5,602,,
20-01 Sb.3x2,5a38ee51c4a282000c5a955c,1,1,,,,800,1069,17.15,,,314,,4,439,,
TOZ106,5a38eecdc4a282329a73b512,1,1,,,,1500,1500,-70,,,291,357,3,408,,
TOZ106,5a38ef1fc4a282000b1521f6,4,1,,,,2000,0,0,,,680,,8,953,,
SCRA,5a398ab9c4a282000c5a9842,1,1,,,,82222,44459,-18.77,,,4800,,55,6720,,
PRA,5a398b75c4a282000a51a266,1,1,,,,88888,62278,-26.61,,,4800,,55,6720,,
SLock PVS-14,5a3b898486f77467720a2f29,2,2,,,,,0,0,,,7889,9664,90,,12228,
Luger CCI,5a3c16fe86f77452b62de32a,1,1,,,,299,408,-9.93,92,,74,,,103,,
Hat,5a43943586f77416ad2f06e2,1,1,,,,0,0,0,,,200,245,2,,310,
Hat,5a43957686f7742a2c2f11b0,1,1,,,,0,0,0,,,200,245,2,,310,
AKS-74UN Zenit,5a43a85186f7746c914b947a,4,2,,,,,0,0,9672,,7738,,88,10833,,
P226R Tactical,5a43a86d86f7746c9d7395e8,3,1,,,,,0,0,3119,,2495,,28,3493,,
K-2IKS,5a5f1ce64f39f90b401987bc,1,1,,,,12987,15532,-12.14,,,7167,8780,81,10034,,
M61,5a6086ea4f39f99cd479502f,1,1,,,,,0,,195,,156,,,218,,
M62,5a608bf24f39f98ffc77720e,1,1,,,,,0,,137,,110,,,154,,
R43 VAL,5a69a2ed8dc32e000d46d1f1,2,1,,,,49000,71930,-2.14,,,3270,4006,37,4579,,
G AW thr.,5a6b585a8dc32e5a9c28b4f1,1,1,,,,5000,11537,12.67,,,281,344,3,393,,
G DD thr.,5a6b592c8dc32e00094b97bf,1,1,,,,8888,5518,-16.1,,,281,344,3,394,,
G SAI thr.,5a6b59a08dc32e000b452fb7,1,1,,,,4000,7416,33.19,,,402,493,5,563,,
G AW,5a6b5b8a8dc32e001207faf3,1,1,,,,15555,24190,-1.3,,,3179,3894,36,4450,,
G DD thr.,5a6b5e468dc32e001207faf5,1,1,,,,14500,24249,43.35,,,2386,2922,27,3340,,
G SAI,5a6b5ed88dc32e000c52ec86,1,1,,,,17777,22600,-2.08,,,4542,5564,52,6359,,
G17,5a6b5f868dc32e000a311389,1,1,,,,3000,8966,-41.26,,,625,765,7,875,,
G17 comp,5a6b60158dc32e000a31138b,1,1,,,,4000,4000,-63.72,,,755,925,9,1057,,
Glock FS,5a6f58f68dc32e000a311390,1,1,,,,5000,0,0,251,,200,245,2,281,,
Glock RS,5a6f5d528dc32e00094b97d9,1,1,,,,29998,33569,0,302,,241,295,3,338,,
G17,5a6f5e048dc32e00094b97da,2,1,,,,10000,8425,-43.83,,,1243,1523,14,1741,,
G ViperCut,5a6f5f078dc32e00094b97dd,2,1,,,,10888,13895,-7.7,,,4479,5487,51,6271,,
G AW,5a702d198dc32e000b452fc3,2,1,,,,10999,10833,-2.05,,,3206,3927,36,4488,,
G AW C,5a7033908dc32e000a311392,2,1,,,,10999,14083,-18.49,,,5036,6170,57,7051,,
G DD FH,5a70366c8dc32e001207fb06,1,1,,,,7000,7723,-23.16,,,1801,2206,20,2521,,
G 3Port,5a7037338dc32e000d46d257,1,1,,,,5999,13066,29.07,,,2021,2476,23,2830,,
G AW,5a705e128dc32e000d46d258,1,1,,,,5000,5500,-21.31,,,1120,1372,13,1568,,
Glock 9x19,5a718b548dc32e000d46d262,1,1,,,,1500,7143,22.18,,,590,,7,826,,
GL9,5a718da68dc32e000d46d264,1,1,,,,10000,10000,0,,,692,,8,969,,
G SGMT,5a718f958dc32e00094b97e7,1,2,,,,18888,21725,-5.19,,,3464,,39,4850,,
G ZT FS,5a71e0048dc32e000c52ecc8,1,1,,,,0,0,0,650,,520,637,6,728,,
G ZT RS,5a71e0fb8dc32e00094b97f2,1,1,,,,0,0,0,1000,,800,980,9,1120,,
G ZT cap,5a71e1868dc32e00094b97f3,1,1,,,,8000,14463,-53.86,,,40,,,56,,
G ZT HEX,5a71e22f8dc32e00094b97f4,2,1,,,,29999,24554,-24.07,,,8047,9858,91,11266,,
G ZT Spartan,5a71e4f48dc32e001207fb26,2,1,,,,22999,38247,11.95,,,9191,11259,104,12868,,
M870,5a7828548dc32e5a9c28b516,3,1,,,,45000,90362,-63.04,7601,,6080,,69,8513,,9121
M870 508mm FS,5a787ebcc5856700142fdd98,3,1,,,,12000,23852,18.09,,,2961,3627,34,4145,,
M870 355mm,5a787f25c5856700186c4ab9,2,1,,,,15000,20136,-11.23,,,1470,1801,17,2058,,
M870 508mm,5a787f7ac5856700177af660,3,1,,,,44444,48694,-15.28,,,4151,5085,47,5811,,
M870 660mm,5a787fadc5856700155a6ca1,4,1,,,,0,0,0,,,5686,6965,65,7960,,
M870 325mm,5a787fdfc5856700142fdd9a,2,1,,,,20000,20000,44.76,,,2237,2740,25,3132,,
PR-870,5a788031c585673f2b5c1c79,2,1,,,,6000,11813,-28.02,,,820,1004,9,1148,,
MOE 870,5a788068c5856700137e4c8f,2,1,,,,34444,48404,-32.58,,,3140,3847,36,4397,,
870 SFeed,5a788089c5856700142fdd9c,2,1,,,,1566,9261,-35.58,,,560,686,6,785,,
M870 SPS,5a7880d0c5856700142fdd9d,2,1,,,,8000,8000,-77.93,,,594,,7,832,,
M870 SGA,5a78813bc5856700186c4abe,2,1,,,,33000,0,0,,,3569,,41,4997,,
870 Raptor,5a788169c5856700142fdd9e,1,1,,,,10000,11301,10.47,,,1018,,12,1425,,
M870x4,5a7882dcc5856700177af662,1,1,,,,15000,0,0,,,412,,5,576,,
M870x7,5a78830bc5856700137e4c90,2,1,,,,18888,20000,-35.2,,,671,,8,940,,
M870x10,5a78832ec5856700155a6ca3,3,1,,,,37777,36172,42.92,,,977,,11,1368,,
MT Clamp,5a789261c5856700186c65d3,1,1,,,,10540,11233,-8.75,,,1710,,19,2395,,
MTU-028SG,5a7893c1c585673f2b5c374d,2,1,,,,29999,14880,4.69,,,598,,7,837,,
M870 XS,5a78948ec5856700177b1124,2,1,,,,9999,14738,-16.6,,,2370,,27,3318,,
G 4Port,5a7ad0c451dfba0013379712,1,1,,,,8000,9260,-10.32,,,2460,3014,28,3445,,
LWD-COMP9,5a7ad1fb51dfba0013379715,1,1,,,,10000,9146,27.1,,,1346,1648,15,1884,,
Big Stick,5a7ad2e851dfba0016153692,1,2,,,,3399,10604,-5.27,,,1182,,13,1655,,
G AT base,5a7ad4af51dfba0013379717,1,1,,,,22222,17695,-3.13,,,1617,,18,2264,,
G TShark,5a7ad55551dfba0015068f42,1,1,,,,15000,24420,-4.04,,,1618,,18,2266,,
G FD917,5a7ad74e51dfba0015068f45,2,1,,,,24888,25982,-6.06,,,17622,21587,200,24671,,
Glock 17,5a7ae0c351dfba0017554310,2,1,,,,13000,18189,-29.57,3304,,2643,,30,3700,,
G PS9,5a7afa25e899ef00135e31b0,2,1,,,,0,0,0,,,5648,6919,64,7908,,
G G4,5a7b32a2e899ef00135e345a,1,1,,,,15000,20792,6.08,,,2590,3173,29,3626,,
XC1,5a7b483fe899ef0016170d15,1,1,,,,15000,18920,-1.1,,,6737,8253,77,9432,,
UM3,5a7b4900e899ef197b331a2a,1,1,,,,25555,27632,7.11,,,2248,,26,3147,,
G TGG,5a7b4960e899ef197b331a2d,1,1,,,,14420,14420,0,,,403,494,5,565,,
VP-09,5a7c147ce899ef00150bd8b8,1,1,,,,7777,9937,-2.08,,,4526,5544,51,6336,,
6B47,5a7c4850e899ef00150be885,2,2,,,,33333,34643,-6.9,,,12233,14985,139,,18961,
NSPU-M,5a7c74b3e899ef0014332c29,2,1,,,,14990,14999,-5.11,,,5492,,62,7689,,
G SE FS,5a7d90eb159bd400165484f1,1,1,,,,4500,13854,3.11,951,,761,932,9,1065,,
G TFX FS,5a7d9104159bd400134c8c21,1,1,,,,8000,8285,-49.64,505,,404,494,5,565,,
G SE RS,5a7d9122159bd4001438dbf4,1,1,,,,13999,16474,66.4,2053,,1642,2011,19,2299,,
G TFX RS,5a7d912f159bd400165484f3,1,1,,,,10000,17577,53.4,909,,727,890,8,1018,,
CQR,5a7dbfc1159bd40016548fde,1,1,,,,28888,31110,3.08,,,8384,10270,95,11738,,
GTL 21,5a800961159bd4315e3a1657,1,1,,,,16895,17084,-4.95,,,6033,7390,69,8446,,
Shoreline,5a8036fb86f77407252ddc02,1,1,,,,22143,21664,9.78,,,,,,,,
Resort,5a80a29286f7742b25692012,1,1,,,,9800,10449,-38.51,,,,,,,,
Glock 17 Tac 3,5a88ad7b86f77479aa7226af,2,2,,,,,0,0,3304,,2643,,30,3700,,
Glock 17 Viper,5a88ae4a86f77457fd2c0dae,2,2,,,,,0,0,3304,,2643,,30,3700,,
Glock 17 Fischer,5a88aed086f77476cd391963,3,1,,,,,0,0,3304,,2643,,30,3700,,
Glock 17 Tac 2,5a88af5086f77411a871682c,3,1,,,,,0,0,3304,,2643,,30,3700,,
Glock 17 Alpha Wolf,5a88afdc86f7746de12fcc20,2,1,,,,,0,0,3304,,2643,,30,3700,,
Glock 17 Hex,5a88b0f686f77416370eca3e,2,1,,,,,0,0,3304,,2643,,30,3700,,
Glock 17 Spartan,5a88b1f686f774159949926e,2,1,,,,,0,0,3304,,2643,,30,3700,,
AKM T-OPS,5a8ae21486f774377b73cf5d,6,2,,,,,0,0,14756,,11805,,134,16527,,
M4A1 Space Trooper,5a8ae36686f774377d6ce226,4,2,,,,,0,0,9198,,7358,,84,10302,,
MPX MQB,5a8ae43686f774377b73cfb3,4,2,,,,,0,0,9453,,7562,,86,10587,,
MP-133 Tactical,5a8ae54786f7743b5e013ba0,5,1,,,,,0,0,7221,,5777,,66,8088,,8665
PP-19-01 Zenit,5a8ae65f86f774377a23ed55,4,2,,,,,0,0,7375,,5900,,67,8260,,
M4A1 SOPMOD II,5a8ae73886f7747b2e6e1416,5,2,,,,,0,0,9198,,7358,,84,10302,,
Glock 17 Tac HC,5a8c436686f7740f394d10b5,2,2,,,,,0,0,3304,,2643,,30,3700,,
TL-99,5a9548c9159bd400133e97b3,2,1,,,,15500,18653,-16.21,,,3120,3822,35,4368,,
XRSU47SU,5a957c3fa2750c00137fa5f7,2,1,,,,37999,40598,-12.69,,,8836,10824,100,12370,,
B&T 3x,5a966ec8a2750c00171b3f36,2,1,,,,18000,16317,-10.01,,,1800,,20,2520,,
SAI-02,5a966f51a2750c00156aacf6,1,3,,,,10000,18714,-4.38,,,1480,,17,2072,,
G MotoCut,5a9685b1a2750c0032157104,2,1,,,,23333,17880,7.81,,,4074,4991,46,5704,,
TRAX 1,5a9d56c8a2750c0032157146,1,1,,,,10000,17196,-0.08,,,3170,3883,36,4438,,
"SI 4""",5a9d6d00a2750c5c985b5305,1,1,,,,17000,18927,24.46,,,403,,5,565,,
"SI 6""",5a9d6d13a2750c00164f6b03,1,1,,,,22222,25313,19.03,,,540,,6,757,,
TRAX Bridge,5a9d6d21a2750c00137fa649,2,1,,,,9999,13856,-21.82,,,654,,7,915,,
TRAX 2,5a9d6d34a2750c00141e07da,1,1,,,,6666,12380,-0.12,,,2903,3556,33,4065,,
SR3M.130,5a9e81fba2750c00164f6b11,1,2,,,,38000,51069,3.1,,,8007,,91,11210,,
Dynacomp AK,5a9ea27ca2750c00137fa672,1,1,,,,10000,13963,-0.02,,,1560,1911,18,2184,,
GL-SHOCK,5a9eb32da2750c00171b3f9c,2,1,,,,27000,29733,6.05,,,4148,,47,5807,,
R43 9x19,5a9fb739a2750c003215717f,2,1,,,,12000,17594,-3.64,,,8717,10678,99,12204,,
R43 7.62x39,5a9fbacda2750c00141e080f,2,1,,,,27500,29175,1.25,,,17640,21609,200,24696,,
R43 .366TKM,5a9fbb74a2750c0032157181,2,1,,,,23000,25716,-1.35,,,10011,12264,114,14016,,
R43 556,5a9fbb84a2750c00137fa685,2,1,,,,37555,49124,-12.46,,,17186,21052,195,24060,,
B-3,5a9fc7e6a2750c0032157184,1,1,,,,10499,14840,-12.22,,,2198,,25,3077,,
USEC,5aa2a7e8e5b5b00016327c16,1,1,,,,1000,0,0,,,656,804,7,,1018,
BEAR,5aa2b87de5b5b00016327c25,1,1,,,,1915,1915,-4.25,,,690,845,8,,1070,
EMERCOM,5aa2b89be5b5b0001569311f,1,1,,,,5999,7376,25.01,,,578,708,7,,895,
Police,5aa2b8d7e5b5b00014028f4a,1,1,,,,5000,6886,1.34,,,602,737,7,,933,
RGlasses,5aa2b923e5b5b000137b7589,2,1,,,,11000,16792,-13.81,,,1233,1511,14,,1912,
Dundukk,5aa2b986e5b5b00014028f4c,2,1,,,,2999,3281,-39.04,,,811,993,9,,1257,
